# Dump of DSMap
-6071  1.9242
-6061  1.9215
-6051  1.9187
-6041  1.9161
-6031  1.9134
-6021  1.9108
-6011  1.9083
-6001  1.9057
-5991  1.9033
-5981  1.9009
-5971  1.8986
-5961  1.8963
-5951  1.894
-5941  1.8918
-5931  1.8896
-5921  1.8875
-5911  1.8854
-5901  1.8833
-5891  1.8813
-5881  1.8793
-5871  1.8773
-5861  1.8753
-5851  1.8734
-5841  1.8714
-5831  1.8695
-5821  1.8676
-5811  1.8657
-5801  1.8638
-5791  1.8619
-5781  1.86
-5771  1.8581
-5761  1.8562
-5751  1.8543
-5741  1.8524
-5731  1.8504
-5721  1.8485
-5711  1.8465
-5701  1.8446
-5691  1.8426
-5681  1.8405
-5671  1.8385
-5661  1.8365
-5651  1.8344
-5641  1.8323
-5631  1.8302
-5621  1.828
-5611  1.8259
-5601  1.8237
-5591  1.8215
-5581  1.8193
-5571  1.817
-5561  1.8148
-5551  1.8125
-5541  1.8101
-5531  1.8078
-5521  1.8055
-5511  1.8031
-5501  1.8007
-5491  1.7983
-5481  1.7959
-5471  1.7934
-5461  1.7909
-5451  1.7885
-5441  1.786
-5431  1.7835
-5421  1.781
-5411  1.7784
-5401  1.7759
-5391  1.7733
-5381  1.7708
-5371  1.7682
-5361  1.7656
-5351  1.763
-5341  1.7604
-5331  1.7578
-5321  1.7552
-5311  1.7526
-5301  1.75
-5291  1.7474
-5281  1.7448
-5271  1.7422
-5261  1.7396
-5251  1.7369
-5241  1.7343
-5231  1.7317
-5221  1.7291
-5211  1.7265
-5201  1.7238
-5191  1.7212
-5181  1.7186
-5171  1.716
-5161  1.7134
-5151  1.7108
-5141  1.7082
-5131  1.7056
-5121  1.7029
-5111  1.7003
-5101  1.6977
-5091  1.6951
-5081  1.6925
-5071  1.6899
-5061  1.6873
-5051  1.6847
-5041  1.6821
-5031  1.6795
-5021  1.6769
-5011  1.6743
-5001  1.6718
-4991  1.6692
-4981  1.6666
-4971  1.664
-4961  1.6614
-4951  1.6588
-4941  1.6562
-4931  1.6536
-4921  1.651
-4911  1.6484
-4901  1.6458
-4891  1.6432
-4881  1.6405
-4871  1.6379
-4861  1.6353
-4851  1.6327
-4841  1.6301
-4831  1.6275
-4821  1.6249
-4811  1.6222
-4801  1.6196
-4791  1.617
-4781  1.6144
-4771  1.6117
-4761  1.6091
